time,rv,rv_err
2457435.78329,-70.6993179321289,0.478080153465271
2457444.75271,8.589722633361816,0.3607217073440552
2457467.65676,74.42109680175781,0.549790620803833
2457472.6756,-5.506734848022461,0.4477538764476776
2457493.62043,43.21186828613281,0.39251670241355896
2457498.60422,33.117557525634766,1.1226084232330322
2457707.01552,-82.92430114746094,0.8923768997192383
2457711.99812,42.378543853759766,0.4099002778530121
2457736.99439,-5.30169677734375,0.8929017782211304
2457742.94573,71.0390625,0.41798514127731323
2457761.90059,-85.25624084472656,0.5021398663520813
2457765.87182,25.1138858795166,0.6295506954193115
