time,rv,rv_err
2456080.77372,-57.259620666503906,0.04472680017352104
2456435.74879,-44.53240203857422,0.05531814694404602
2456467.63998,-7.490724563598633,0.0453525148332119
2455967.01176,-40.316436767578125,0.07050231099128723
2456024.91086,-6.341653823852539,0.06526368856430054
2456050.77808,-22.115039825439453,0.2868371307849884
2456078.70486,-53.882080078125,0.04081978276371956
2456082.70527,-58.61533737182617,0.03813903033733368
2455968.01192,-40.063865661621094,0.04511900991201401
2456051.80205,-24.54995346069336,0.051096368581056595
2456080.71643,-57.134971618652344,0.04053707420825958
2456053.80563,-27.073772430419922,0.0513484850525856
2456106.64287,-61.98161315917969,0.04095492511987686
2456054.80642,-26.31368064880371,0.05046490207314491
2456109.65413,-59.274810791015625,0.052625931799411774
2456345.99937,-9.859315872192383,0.04668240249156952
2456347.00685,-10.675418853759766,0.05330304056406021
2457059.01105,-41.42149353027344,0.04030280187726021
2457062.02049,-39.2945671081543,0.04133281111717224
2457087.94493,-11.967376708984375,0.03882177919149399
2457060.00996,-41.435455322265625,0.03817303106188774
2457063.03873,-38.72290802001953,0.08186995983123779
2457088.94361,-11.40669059753418,0.24107229709625244
2457091.92692,-9.981462478637695,0.03895750641822815
2457094.92645,-8.550580978393555,0.12880301475524902
2457061.02325,-40.838623046875,0.04521546512842178
2457064.01605,-36.873172760009766,0.036905381828546524
2457093.98679,-9.411373138427734,0.034097619354724884
2457114.91025,-6.434822082519531,0.046555642038583755
2457117.90595,-6.444695472717285,0.05889100581407547
2457119.90672,-6.875052452087402,0.04760495573282242
2457141.8066,-19.988563537597656,0.046294018626213074
2457144.80313,-23.648759841918945,0.05003703758120537
2457169.75511,-50.9522705078125,0.056639786809682846
2457143.80945,-21.809669494628906,0.03903932496905327
2457148.82359,-25.628053665161133,0.054356373846530914
2457171.75239,-53.333580017089844,0.044649820774793625
2457495.88962,-61.73069381713867,0.045478928834199905
2457498.89869,-64.6717300415039,0.056762464344501495
2457521.74895,-53.07217025756836,0.04781268537044525
